"Name","Latitude","Longitude"
"Hawryluk_Hive",,
"8NEWS",,
"aharriscle",,
"katieblalack1",,
"USAlovelist",,
"misapo_1",,
"misapo_1",,
"megancannella",,
"URAC",,
"URAC",,
"URAC",,
"URAC",,
"URAC",,
"ssstephaniexo",,
"OptiMYzMag",,
"OptiMYzMag",,
"MeekKari",,
"younglovemommy",,
"younglovemommy",,
"younglovemommy",,
"younglovemommy",,
"younglovemommy",,
"younglovemommy",,
"younglovemommy",,
"younglovemommy",,
"younglovemommy",,
"younglovemommy",,
"younglovemommy",,
"younglovemommy",,
"younglovemommy",,
"younglovemommy",,
"younglovemommy",,
"MeekSings",,
"FOX29philly",,
"FOX29philly",,
"FOX29philly",,
"FOX29philly",,
"SPECNewsROC",,
"KOLO8",,
"MontyKrysto",,
"vanguardozarks",,
"vanguardozarks",,
"RelayHTLT",,
"emburd182",,
"LibrarianLizy",,
"WXXINews",,
"WXXINews",,
"WXXINews",,
"WDX2BB",42.8962295,-78.853563
"whatoilsyou",,
"Bettyroonee",,
"_NotKawaii_",,
"bartonpublish",,
"bartonpublish",,
"serathegamble",,
"Naturna_Life",,
"WebMD",,
"WebMD",,
"DrRachelSterry",,
"ArExPharmacy",,
"AFCpdx",,
"famfightflu",,
"famfightflu",,
"famfightflu",,
"famfightflu",,
"famfightflu",,
"famfightflu",,
"famfightflu",,
"famfightflu",,
"famfightflu",,
"NatalieParamore",30.2677,-97.7475
"CrestonChamber",,
"CrestonChamber",,
"angelamromack",,
"A1CleaningSJ",,
"A1CleaningSJ",,
"A1CleaningSJ",,
"A1CleaningSJ",,
"PrescribeWell",,
"WHAM1180",,
"HoustonPubMedia",,
"13WHAM",,
"sambucolusa",,
"sambucolusa",,
"sambucolusa",,
"sambucolusa",,
"sambucolusa",,
"sambucolusa",,
"sambucolusa",,
"News_8",,
"News_8",,
"BecisBaskets",,
"news10nbc",,
"ghoppe",,
"OurHealthOregon",,
"MasterCareClean",,
"SSSTriple_S",,
"Lotusprime",,
"NewportHospital",,
"jburgernews",,
"CDCFlu",,
"CDCFlu",,
"CDCFlu",,
"CDCFlu",,
"NurseAlexaRN",,
"MassGIC",,
"AriaMarketing",,
"CintasClean",,
"inquirelearn",,
"DrBonville",,
"sralphmd",,
"StephanieValle7",,
"columbiaUcare",,
"SM_Distribution",,
"janitor_mag",,
"janitor_mag",,
"KegoMosweu",,
"Wee_Watch",,
"AngelaJRichter",,
"Commpharmacy",,
"JoannaTierno",,
"lamastu_",,
"globaldisinfect",,
"globaldisinfect",,
"steamtherapy",,
"Corey_D2019",,
"vitamininfuse",,
"TrainItRight",,
"thisquiethour",,
"ethanjhatchett",,
"iHerb",,
"blkberrycastle",,
"DCTreasurer",,
"DCTreasurer",,
"DCTreasurer",,
"HMicrobialCntrl",,
"allisonreux",,
"BettyAnnQuirino",,
"faithhealthhome",,
"faithhealthhome",,
"DHSWI",,
"DHSWI",,
"DLNewspapers",,
"Momma4America",,
"curlsmcgee7",,
"alexisyepez_",,
"anyalhas",,
"inspireuplift",,
"_APCI",,
"_APCI",,
"Tom_Goodfellow",,
"RCCASI",,
"AdventistHC",,
"drmatthewweed",,
"abyt21",,
"EdEllisonMD",,
"CertAllergy",,
"FOX17MorningMix",,
"GeorgiaStateLaw",,
"GeorgiaStateLaw",,
"MOHealthMatters",,
"ColonialLifeBiz",,
"MethodistHealth",,
"itsliveincolor",,
"MacKidFtLderdle",,
"smaorg",,
"CareyAnn76",,
"ausdaw",,
"DailyToreador",,
"reneelstefani",,
"phsu54",,
"mashasrin",,
"APSPharmacyFL",,
"APSPharmacyFL",,
"httpeachloe",,
"DrADFinch",,
"ADHPIO",,
"lisammunoz",,
"CenturyLLC",,
"CenturyLLC",,
"Healthiest_",,
"MiamiSpine247",,
"MiamiSpine247",,
"kidspluspgh",,
"ACMC_Clinics",,
"HTG_Audio",,
"OconeePharmacy",,
"Rndubois",,
"carbontrap",,
"GiniaNYT",,
"jccross209",,
"MedPedsAllergy",,
"sunset_care",,
"Change_HC",,
"JoinMAU",,
"MDedgeIntMed",,
