"Name","Latitude","Longitude"
"JGusabeast",,
"thetruefrancine",,
"GregBurdick6",,
"ManimalManCrush",39.713563,-104.9220935
"zwoomers",,
"adrianlrobles",,
"ch3llls3a",,
"oufenix",,
"kix1979",,
"Atlas_Premier",,
"asablitz",,
"skeeege",,
"woundphysician",,
"vandyjackson",,
"yopaty__",,
"_ronarch",,
"CrimeWritersOn",,
"CherylDeseree",,
"MoonCoontheLoon",,
"thedcd",,
"caseyrebfbcoach",,
"RANDA_MOHAMMID",,
"Concrete4us",,
"bonerhitler",40.655138,-73.9487755
"dailyreminders",,
"brainfogg_",,
"DreadyBoyBamBam",,
"rachrillis",31.232221,-85.425011
"ashbeknowin",40.655138,-73.9487755
"Kugeln1",,
"Dibface",,
"DIG_KAY",,
"annrodgerspgh",41.1179365,-77.604684
"Jerzygryl",,
"PixelTheFur",,
"KDGay_Akali",,
"BelleBrochet",,
"martinugoh1",,
"xmarinanicole",,
"henriquedamour",34.0207895,-118.4119065
"DGENERATIONFLEX",,
"CoachPier",41.6565905,-83.574671
"pamela_mathison",,
"HauseChandler",,
"adilenebarragan",,
"Yanez__99",,
"ClipperNation16",,
"LyricBair",38.442047,-82.46251255
"amarettosaurus",,
"bobbywasabi4080",,
"leo_conant",,
"1Ben_Laurence",,
"DaleaLugo",,
"Melisssattt",,
"summedupcanada",,
"jposhaughnessy",41.0983345,-73.554097
"DROWZZZYDREW",,
"elle_franks",,
"soyfeluiz",,
"wendytreat",47.6148172,-122.3306024
"LisaAtlpeach33",,
"sesrulumoj",,
"StarlettMunk",,
"RadioA1A",,
"rowanepstein",,
"Veny_meh",,
"samtheham57",,
"theVINYLband",,
"wahou21",35.1272406,-80.7092255
"ImkenmacMaclean",,
"3sFromTheRing",,
"StBabs",39.1372146,-74.8543425
"bsturmny",,
"car_tov56",31.1688935,-100.0768885
"cbroberts",,
"rachreb_",,
"bbysanjida",,
"LordJFLY",,
"30andAlone",,
"elizzybeth_T",,
"Joeydixontv",,
"CAAWS",,
"JohnPau08275771",,
"rdduke98",,
"elevenafter",,
"adababyyy",,
"IamcldPatricia",,
"34staccs",,
"wonder_nicc",32.6782075,-83.1738665
"MimsieSky",,
"aurarivera11171",,
"annamdiamond",,
"pamelan28",45.91102595,-95.3773245
"Real1_Mal5",,
"katieeegeiss",,
"kamran5461",,
"KissChattanooga",,
"Go_Dawgs_91",,
"moonkriscent",,
"rweb41",39.6210755,-105.140914
"Juare10Juarez",,
"suicidle_tn",,
"DefinePost_com",,
"tastyinlordran",,
"KCN_LaMirada",,
"MoseJart",,
"eeflacnadia",,
"uglyassjerry",,
"GrannyBClampitt",,
"that_lakerswag",,
"KingNugg_",,
"EmEckels",,
"Alban_Meindl",,
"TheRealBubbaT",32.5735487,-97.116784
"svydu",,
"55mmbae",,
"LexMaddox",,
"CallMeHomegirl",,
"VerafiedBabe",,
"JukuRican",,
"HannahLynnPrice",,
"ArinicoleBaby",29.8384948,-95.4464865
"dcassepoolman",,
"artefaktor80s",,
"BillyJoeDipper",,
"youngguidance",,
"JasonJason702",,
"CelestiaIUnity",,
"YoFaveFireman",,
"SimcoeWarriors",,
"wordstospill",,
"unclescorpie",,
"nottodaynicole",37.552481,-122.3154215
"ControllerTape",,
"andrewdolph",,
"mdearmon10",32.571032,-89.876449
"iSeeYouPeee",,
"ryan_stock94",,
"miguelmorales",41.345003,-72.108118
"Ninjabob1970",,
"plantbasedghoul",,
"fademeCDP",,
"ripaubree",,
"DickSully",,
"LeLibanaisNYC",,
"TgDove",,
"RobertPWills",,
"rystev",,
"sjgilly",,
"AbbieJeannn",,
"Steve_Dangle",,
"ShereeOrigi",,
"abc3340",,
"MzDemeanor",,
"O_Fleek_",,
"AngelaHopeEvans",,
"BIG_PAPPi24",32.5972449,-85.4915405
"kkarla221",,
"RichardElles",,
"ElPascoTexas",,
"bumblegee_13",,
"theycallmegege",,
"Jobdielsroyce",,
"NaMochi_7",,
"KristenADellea",,
"arneezy619",,
"taylorgarvin2",,
"garfilink1",,
"Comethod",,
"ryanneathery30",,
"michie8",,
"CAVandy",,
"BBYNAVA",,
"MrsElizlia",,
"EasonBryson",35.13352055,-89.922029
"LakeShowBoy3",,
"kate_lundahl",,
"TerrenceNHolman",,
"RichardTChristy",,
"GiantSoundLLC",,
"Earthling62",,
"glenmccall357",,
"SpidermnFacts",,
"ChristpherNuzzo",,
"JonCandyForAm",,
"c_sosa1",,
"rosecolorprints",,
"divgnet",,
"atrium347",,
"wcgrimley",,
"jean41691075",,
"tt_sports",,
"erek_22",41.5094324,-112.0068406
"jcmarbury",,
"coolrelaxed",35.1704985,-79.86103375
"19guzman95",,
"CravalynnB",42.3435889,-122.8689885
"thehornedkid",,
"_Kelseyx3",,
"DarcyCalder",,
"dmhetz",,
"aaliyah_1113",,
"ezridersos",,
"LolaSprinkles",40.810705,-73.045893
"BCepull32",,
"DrJoelKain",,
"od_uribe",,
"ColbyHarard",,
"lynetten13",,
"sharla345",,
"joeartdotcom",,
"NickNakPatyShak",,
"OVilleta",34.14453,-118.39561
"forcestrix",,
"justinlawniczak",,
"yodacat2005",,
"QAF_thoughts",,
"mzjacobson",,
"KenWallace207",,
"SnazzycoolYo",,
"Curlyheaaad_Ang",,
"angrycalivet",,
"Guthrie1289",,
"joymakemoney",,
"lindalouiseann",,
"iheartgrayson1",,
"_anthonynash",,
"Hockeygrrls",,
"sadielizlane",,
"deniselynne1966",,
"ChildJusticeCtr",,
"reactionfaye",,
"KerbIV",,
"jcarlston65",,
"DJKiddFresh_",39.076493,-76.9527125
"DJKiddFresh_",39.076493,-76.9527125
"mrbc1848vu",,
"tjcason007",,
"lindsaystamp3",,
"btsbeaming",,
"fabtastictay",,
"kierakpascua",37.7706565,-122.4359785
"CroccSucc",,
"Demetrius_28",33.943457,-84.3524446
"trinafraser",,
"grumpyporcupine",,
"MrsStinkFingers",35.1272406,-80.7092255
"Twalter86957848",40.1079605,-74.11546875
"iwasdivine",,
"Tom02466108",,
"outonthepatio",29.8384948,-95.4464865
"cabellobaby97",,
"jenneveryday",,
"JadoreLinda",,
"jestag86",,
"Iheartnoise",,
"Nasiaaaxx_",,
"dbarrath",,
"himynameisteph",,
"lordjordychrist",,
"MystiConnolly",,
"LittleJoni00",,
"JaynesShauna",,
